date,ticker,pattern,score,structure,volume,readiness,regime,accum_ratio,volume_ratio,height_pct,touches,hold_return,hold_win,mfe,mae,market_return,market_beat,traded,trade_return,exit_reason
2023-04-14,CBOE,volatility_compression,25.7,8.2,7.5,10.0,bull_medium,0.5,0.94,9.9,0,0.03114859490152755,True,0.037496652012650955,-0.002509568560766784,0.004807374728515557,True,True,0.01638160743420869,time
2023-04-14,FAST,ascending_triangle,25.7,9.2,7.6,9.0,bull_medium,0.538,1.46,15.4,7,0.010902377618729142,True,0.02835295167619556,-0.018200572361663947,0.004807374728515557,True,True,0.010902377618729142,time
2023-04-14,DELL,volatility_compression,25.6,11.0,6.3,8.2,bull_medium,0.462,0.99,16.0,0,0.026116913243541928,True,0.06783615640229779,-0.02154382653280229,0.004807374728515557,True,True,-0.034767809384877224,stop
2023-04-14,FISV,volatility_compression,25.6,6.9,10.5,8.3,bull_medium,0.615,0.74,7.6,0,0.056492833424814703,True,0.05882864665796994,-0.001816758293328391,0.004807374728515557,True,True,0.042312633832976454,target
2023-04-14,AMZN,symmetrical_triangle,25.6,7.5,10.3,7.7,bull_medium,0.615,0.89,11.5,4,0.022198460690574073,True,0.07464130161785176,-0.017157853912630916,0.004807374728515557,True,True,0.04740205665276376,target
2023-04-14,AXON,flat_base,25.5,10.5,7.6,7.3,bull_medium,0.538,0.79,16.9,0,-0.06351108127170135,False,0.01684441460503483,-0.07679999457465281,0.004807374728515557,False,False,,no_trigger
2023-04-14,ARES,ascending_triangle,25.4,8.6,8.9,7.9,bull_medium,0.615,0.74,10.6,3,0.06285625868088074,True,0.06789206572355933,-0.013105322773839134,0.004807374728515557,True,True,0.04638865777882373,time
2023-04-14,FISV,flat_base,25.2,9.5,10.5,5.2,bull_medium,0.615,0.74,12.2,0,0.056492833424814703,True,0.05882864665796994,-0.001816758293328391,0.004807374728515557,True,True,0.028898835172146198,time
2023-04-14,EW,volatility_compression,25.2,6.2,10.2,8.8,bull_medium,0.615,0.7,7.2,0,0.03860234101997917,True,0.04887261757044814,-0.020186508121283864,0.004807374728515557,True,True,0.03372110629695202,time
2023-04-14,CTAS,volatility_compression,25.2,7.6,12.4,5.2,bull_medium,0.692,0.92,8.8,0,-0.012309234663561042,False,0.013132411110430287,-0.04953964565052282,0.004807374728515557,False,False,,no_trigger
2023-04-14,ARES,flat_base,25.2,12.9,8.9,3.3,bull_medium,0.615,0.74,18.4,0,0.06285625868088074,True,0.06789206572355933,-0.013105322773839134,0.004807374728515557,True,True,-0.04027954256670907,stop
